0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0
5,8,0,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0
9,7,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0
10,8,0,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0
12,8,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,8,0,0,0,1,0,0,0
11,0,0,0,0,1,0,0,0
11,8,0,0,0,0,0,0,0
-1,-1,0,0,0,0,0,0,0
x,y,0,0,0,0,0,0,0 is the format(x and y start from 0) and must end with a line whose x is -1
